"","age","gender","median","ci.l","ci.h","n"
"1",16,"F",50.5,8.5,17.5,65
"2",16,"M",31,16,40,59
"3",17,"F",75,31.05,37,35
"4",17,"M",56.5,14.5,25.0874999999999,36
"5",18,"F",121,50,48.5999999999999,34
"6",18,"M",51,15,40.5999999999999,47
"7",19,"F",148,54.5,71,38
"8",19,"M",139,62,52,35
"9",20,"F",221,76,40,45
"10",20,"M",117,33,73.5,48
"11",21,"F",213,73,114,31
"12",21,"M",182,70,103,39
"13",22,"F",309,82.2125,73.5,40
"14",22,"M",190,53.625,104,32
"15",23,"F",379,71,77,41
"16",23,"M",314,69,32,41
"17",24,"F",350,63,47,59
"18",24,"M",270,52.1375,82,48
"19",25,"F",435,53,44,45
"20",25,"M",363,89,27,31
"21",26,"F",471,101,70,39
"22",26,"M",420,116,48,39
"23",27,"F",531.5,66.5,36.5,38
"24",27,"M",416,85,75,43
"25",28,"F",513,45,30,29
"26",28,"M",398.5,78.0875,77.0125,30
"27",29,"F",579,84,49,28
"28",29,"M",444,80,39,31
"29",30,"F",575,34,42,35
"30",30,"M",540,60,48,31
